Product name;Old price, PLN;New price, PLNDiscount, %
SFD MELATONINA 270 TAB MELATONIN MOCNY ZDROWY SEN;12.99;11.89;8.0
SFD COLLAGEN 400G MSM BOSWELLIA KOLAGEN WIT.D3 + C;40.0;38.99;2.0
OLEJEK KONOPNY CBD 10% | 1000 mg | PEŁNE SPEKTRUM;277.0;96.7;65.0
SFD MSM 90tab SIARKA ORGANICZNA KOLAGEN STAWY FLEX;24.99;18.99;24.0
OstroVit Maca 90 tabs POTENCJA LIBIDO TESTOSTERON;24.9;19.9;20.0
OstroVit MSM SIARKA ORGANICZNA ZDROWE STAWY KOŚCI;29.9;13.9;53.0
SFD LUKRECJA + SELEN I CYNK 90 tab ODPORNOŚĆ;22.99;14.99;34.0
SFD BIOTYNA 10000 100 tab ZDROWE WŁOSY PAZNOKCIE;59.99;40.0;33.0
ALLNUTRITION BIOTIN 30 KAP BIOTYNA WŁOSY SKÓRA;9.99;8.99;10.0
OstroVit CLA 1000 150 caps KWAS LINOLOWY REDUKCJA;39.9;29.9;25.0
POLSKI Pulsoksymetr MEDYCZNY pomiar saturacji tlen;149.0;79.0;46.0
OstroVit L-TEANINA TYROZYNA 90 caps PAMIĘĆ RELAKS;39.9;29.9;25.0
ECOMAX ASHWAGANDHA 9% WITANOLIDÓW 100 KAP ŻEŃ-SZEŃ;57.0;24.9;56.0
Maseczka chirurgiczna Niebieska typ II, 50 szt;69.0;49.0;28.0
Ciśnieniomierz naramienny Oro-Med Oro-N2 Basic;189.0;59.98;68.0
NAWILŻACZ POWIETRZA DYFUZOR ZAPACHOWY AROMATERAPIA;120.0;28.99;75.0
INHALATOR NEBULIZATOR KOMPRESOROWY MEDYCZNY +MASKI;99.0;63.99;35.0
Sieciowy OCZYSZCZACZ POWIETRZA jonizator ozonator;119.0;69.5;41.0
NAWILŻACZ POWIETRZA DYFUZOR ZAPACHOWY AROMATERAPIA;129.0;40.0;68.0
Pulsoksymetr medyczny z alarmem IMDK C101A3;109.0;47.75;56.0
PULSOKSYMETR Z CERTYFIKATEM MEDYCZNYM NAPALCOWY;159.0;88.8;44.0
Płyn do dezynfekcji 20L, BOMASEPT G, zapach ALOES;180.0;129.0;28.0
CIŚNIENIOMIERZ NADGARSTKOWY OROMED 168 ARYTMIA;99.99;59.29;40.0
NAWILŻACZ POWIETRZA AROMATERAPIA JONIZATOR 4,5L;400.0;199.0;50.0
VITAMMY Mist Nawilżacz powietrza parowy;199.0;139.5;29.0
VITAMMY NEXT5 Ciśnieniomierz naramienny arytmia;159.0;87.75;44.0
BEZDOTYKOWA STACJA DO DEZYNFEKCJI RĄK.AUTOMATYCZNA;700.0;369.0;47.0
PULSOMETR MEDYCZNY NAPALCOWY PULSOKSYMETR TLEN;199.0;17.49;91.0
100 szt. MASECZKA CHIRURGICZNA MEDYCZNA CE;50.0;45.0;9.0
VITAMMY Thermo 1X Koc elektryczny rozgrzewający;129.0;95.69;25.0
ESPERANZA CIŚNIENIOMIERZ NADGARSTKOWY VIGOR LCD;99.0;40.0;59.0
OLIMP CYNKOVIR + HALITOFAST 30tabl CYNK DO SSANIA;49.9;29.9;40.0
DUŻY ELEKTRYCZNY KOC GRZEJĄCY MATA GRZEWCZA VELVET;99.0;66.99;32.0
JustSexY markowe BODY BODYSTOCKING XS/S/M/L;19.99;16.99;15.0
Spray do dezynfekcji powierzchni MEDISEPT Papaya;28.99;23.19;20.0
JustSexY - strój erotyczny MĘSKI kostium KUCHARZ;129.99;89.99;30.0
LAMPA LECZNICZA SOLUX PODCZERWIEŃ 150W Philips;130.0;103.0;20.0
JustSexY komplet Koronkowa seksowna Bielizna;89.99;69.99;22.0
Igły do penów 100szt BD Micro-Fine PLUS 0,25x5mm;59.0;42.25;28.0
